symbol,period,roe_percent,roa_percent,gross_margin_percent,operating_margin_percent,net_margin_percent,ebitda_margin_percent,revenue,net_income,total_assets,shareholders_equity,company_name,sector,industry
TCS,2025-03-31,52.16,25.39,38.34,24.2,19.02,27.95,2553240000000.0,485530000000.0,1596290000000.0,947560000000.0,Tata Consultancy Services Limited,Technology,Information Technology Services
JSWSTEEL,2025-03-31,4.32,3.62,31.7,8.66,2.08,13.69,1665750000000.0,35040000000.0,2407420000000.0,794960000000.0,JSW Steel Limited,Basic Materials,Steel
M&M,2025-03-31,16.89,6.48,40.68,15.28,8.01,21.57,1587497500000.0,129291000000.0,2775862700000.0,770388600000.0,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers
WIPRO,2025-03-31,16.71,7.75,30.65,17.29,14.74,24.0,890884000000.0,131354000000.0,1286520000000.0,828309000000.0,Wipro Limited,Technology,Information Technology Services
TECHM,2025-03-31,15.48,7.31,33.08,10.5,8.02,14.77,529883000000.0,42515000000.0,444945000000.0,273615000000.0,Tech Mahindra Limited,Technology,Information Technology Services
CIPLA,2025-03-31,18.14,10.93,66.35,19.9,19.34,29.43,271454000000.0,52725200000.0,373870400000.0,311934500000.0,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic
LTIM,2025-03-31,21.54,11.82,27.44,13.77,12.1,19.69,380081000000.0,45987000000.0,306300000000.0,226983000000.0,LTIMindtree Limited,Technology,Information Technology Services
SBIN,2025-03-31,17.21,1.15,,28.66,22.62,,3623999900000.0,775613400000.0,73141853400000.0,4870367600000.0,State Bank of India,Financial Services,Banks - Regional
TATACONSUM,2025-03-31,6.63,3.88,41.86,9.84,7.26,15.14,176183000000.0,12784700000.0,319776800000.0,200010800000.0,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods
INFY,2024-03-31,28.93,15.06,29.82,20.03,16.38,26.76,18562000000.0,3167000000.0,16523000000.0,10559000000.0,Infosys Limited,Technology,Information Technology Services
BRITANNIA,2025-03-31,52.18,20.05,40.9,16.34,12.14,19.27,175350200000.0,21787300000.0,88385500000.0,43557200000.0,Britannia Industries Limited,Consumer Defensive,Packaged Foods
COALINDIA,2025-03-31,38.47,9.52,67.9,26.37,27.85,44.89,1269567600000.0,353581600000.0,2601983700000.0,991049200000.0,Coal India Limited,Energy,Thermal Coal
ADANIPOWER,2025-03-31,25.29,10.44,43.07,27.24,23.02,42.72,562030900000.0,127496100000.0,1129175700000.0,563470900000.0,Adani Power Limited,Utilities,Utilities - Independent Power Producers
AXISBANK,2025-03-31,16.32,1.78,,48.77,36.57,,848805500000.0,280551100000.0,16569626100000.0,1872354900000.0,Axis Bank Limited,Financial Services,Banks - Regional
ITC,2025-03-31,27.58,16.91,57.55,32.55,46.13,38.74,746533200000.0,347466300000.0,880906800000.0,700300500000.0,ITC Limited,Consumer Defensive,Tobacco
ASIANPAINT,2025-03-31,18.79,10.32,41.79,13.53,10.83,18.81,337973600000.0,36672300000.0,303713700000.0,193998100000.0,Asian Paints Limited,Basic Materials,Specialty Chemicals
ONGC,2025-03-31,10.37,4.57,35.69,7.63,5.46,15.4,6632623100000.0,362256000000.0,7587231100000.0,3434404800000.0,Oil and Natural Gas Corporation Limited,Energy,Oil & Gas Integrated
INDUSINDBK,2025-03-31,4.02,0.48,,-243.95,13.15,,267217500000.0,25755400000.0,5541071100000.0,648356800000.0,IndusInd Bank Limited,Financial Services,Banks - Regional
MARUTI,2025-03-31,15.95,7.35,29.95,8.27,9.48,17.52,1451099000000.0,145002000000.0,1319718000000.0,962399000000.0,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers
TATASTEEL,2025-03-31,3.45,3.27,52.24,6.08,1.57,12.07,2168403500000.0,34205100000.0,2793948000000.0,911696300000.0,Tata Steel Limited,Basic Materials,Steel
POWERGRID,2025-03-31,17.26,6.33,100.0,57.25,33.89,88.71,457923200000.0,155214400000.0,2661071900000.0,926628100000.0,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric
NTPC,2025-03-31,13.45,4.57,43.11,20.25,12.45,31.39,1881380600000.0,234224600000.0,5241645900000.0,1840711600000.0,NTPC Limited,Utilities,Utilities - Regulated Electric
SUNPHARMA,2025-03-31,15.71,8.81,79.56,21.31,20.79,31.82,520412500000.0,109290400000.0,921005800000.0,722180200000.0,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic
HCLTECH,2025-03-31,25.0,13.01,34.94,17.9,14.75,23.91,1170550000000.0,173900000000.0,1055440000000.0,696550000000.0,HCL Technologies Limited,Technology,Information Technology Services
TITAN,2025-03-31,31.75,8.66,21.5,9.08,5.52,10.82,571430000000.0,33370000000.0,406470000000.0,116240000000.0,Titan Company Limited,Consumer Cyclical,Luxury Goods
ULTRACEMCO,2025-03-31,9.0,4.55,57.71,15.15,7.95,17.37,759551300000.0,60391100000.0,1336971500000.0,707067700000.0,UltraTech Cement Limited,Basic Materials,Building Materials
BAJFINANCE,2025-03-31,19.11,3.99,92.98,58.81,44.98,,423563300000.0,166378200000.0,4661268300000.0,966928700000.0,Bajaj Finance Limited,Financial Services,Credit Services
BHARTIARTL,2025-03-31,28.94,6.2,64.84,30.67,19.4,61.12,1729852000000.0,335561000000.0,5143604000000.0,1136719000000.0,Bharti Airtel Limited,Communication Services,Telecom Services
ADANIGREEN,2025-03-31,10.0,4.09,84.85,57.22,12.72,87.06,112120000000.0,14440000000.0,1113980000000.0,121370000000.0,Adani Green Energy Limited,Utilities,Utilities - Renewable
RELIANCE,2025-03-31,8.4,3.79,34.73,11.61,7.22,19.01,9646930000000.0,696480000000.0,19501210000000.0,8432000000000.0,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing
GRASIM,2025-03-31,5.23,2.99,57.88,15.63,2.5,13.52,1484778900000.0,37056800000.0,5005357000000.0,975092300000.0,Grasim Industries Limited,Basic Materials,Building Materials
HINDALCO,2025-03-31,13.92,6.25,33.19,11.52,6.71,14.1,2384960000000.0,160010000000.0,2659910000000.0,1237090000000.0,Hindalco Industries Limited,Basic Materials,Aluminum
EICHERMOT,2025-03-31,24.07,13.14,48.96,25.56,23.47,36.23,185382100000.0,47344400000.0,271744100000.0,212964900000.0,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers
BAJAJFINSV,2025-03-31,15.12,5.05,50.18,34.17,6.74,,1139988900000.0,88723100000.0,6522316100000.0,723953100000.0,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates
TATAMOTORS,2025-03-31,21.08,5.89,45.26,10.74,6.33,14.22,4368210000000.0,278300000000.0,3786420000000.0,1161440000000.0,Tata Motors Limited,Consumer Cyclical,Auto Manufacturers
BPCL,2025-03-31,16.99,5.39,12.49,5.17,3.03,6.59,4402718600000.0,133365500000.0,2183822200000.0,813840800000.0,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing
DRREDDY,2025-03-31,18.53,10.37,58.5,20.39,17.37,29.7,325535000000.0,56544000000.0,492989000000.0,333388000000.0,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
HINDUNILVR,2025-03-31,21.12,10.62,51.17,20.66,16.87,25.96,622880000000.0,106490000000.0,798800000000.0,494020000000.0,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products
ICICIBANK,2024-03-31,18.23,2.18,,34.28,25.43,,1612101952000.0,442563735000.0,23640630275000.0,2561438346000.0,ICICI Bank Limited,Financial Services,Banks - Regional
ADANIPORTS,2025-03-31,18.51,6.91,66.35,45.03,36.4,66.24,304753300000.0,110923100000.0,1353322300000.0,624353900000.0,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping
KOTAKBANK,2025-03-31,15.39,2.69,,33.65,31.19,,747546500000.0,221259900000.0,8797743400000.0,1574893500000.0,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional
HDFCBANK,2024-03-31,14.57,1.74,,36.81,25.95,,1986934300000.0,622656600000.0,44118573000000.0,6947327400000.0,HDFC Bank Limited,Financial Services,Banks - Regional
NESTLEIND,2025-03-31,87.27,23.14,55.89,21.99,15.92,24.86,200775000000.0,32075900000.0,121933200000.0,40102100000.0,Nestlé India Limited,Consumer Defensive,Packaged Foods
LT,2025-03-31,15.78,4.59,36.56,10.95,5.79,17.32,743922800000.0,54972600000.0,3795241000000.0,976556000000.0,Larsen & Toubro Limited,Industrials,Engineering & Construction
HEROMOTOCO,2025-03-31,23.5,11.74,34.24,12.4,10.7,16.69,409234200000.0,43784800000.0,283903200000.0,192720400000.0,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers
APOLLOHOSP,2025-03-31,18.84,7.57,35.4,9.99,6.63,14.94,217940000000.0,14459000000.0,206574000000.0,82123000000.0,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities
DIVISLAB,2025-03-31,15.35,9.9,60.2,30.14,23.41,35.47,93600000000.0,21910000000.0,169320000000.0,149690000000.0,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic
SHREECEM,2025-03-31,5.31,2.05,63.6,11.59,5.82,23.46,192828300000.0,11227700000.0,284917600000.0,215377500000.0,Shree Cement Limited,Basic Materials,Building Materials
ADANIENT,2025-03-31,15.93,3.51,47.53,8.21,7.25,21.11,978947500000.0,70990000000.0,1981355400000.0,503139700000.0,Adani Enterprises Limited,Energy,Thermal Coal
HDFCLIFE,2025-03-31,11.75,0.25,8.48,2.06,1.86,,968268200000.0,18108200000.0,3494115800000.0,161546200000.0,HDFC Life Insurance Company Limited,Financial Services,Insurance - Life
