symbol,current_assets,current_liabilities,cash_and_equivalents,inventory,accounts_receivable,current_ratio,quick_ratio,cash_ratio,working_capital,current_ratio_interpretation,quick_ratio_interpretation
TCS,1230110000000.0,530010000000.0,83420000000.0,210000000.0,501420000000.0,2.32,2.06,0.16,700100000000.0,Excellent,Excellent
JSWSTEEL,707360000000.0,606260000000.0,116550000000.0,349560000000.0,84150000000.0,1.17,0.45,0.19,101100000000.0,Adequate,Poor
M&M,1265732700000.0,903220100000.0,49238900000.0,203309300000.0,82797000000.0,1.4,0.56,0.05,362512600000.0,Adequate,Poor
WIPRO,777775000000.0,286253000000.0,121974000000.0,694000000.0,117745000000.0,2.72,2.6,0.43,491522000000.0,Excellent,Excellent
TECHM,236792000000.0,126740000000.0,43185000000.0,394000000.0,65486000000.0,1.87,1.5,0.34,110052000000.0,Good,Good
CIPLA,232885200000.0,54839600000.0,5886900000.0,56421100000.0,55063700000.0,4.25,3.0,0.11,178045600000.0,Excellent,Excellent
LTIM,209379000000.0,59659000000.0,20623000000.0,28000000.0,58676000000.0,3.51,3.27,0.35,149720000000.0,Excellent,Excellent
TATACONSUM,89696500000.0,58411000000.0,27259300000.0,35999100000.0,8697900000.0,1.54,0.79,0.47,31285500000.0,Good,Poor
INFY,10722000000.0,4651000000.0,1773000000.0,,3620000000.0,2.27,2.0,0.38,6071000000.0,Excellent,Excellent
BRITANNIA,39136800000.0,36182600000.0,1327800000.0,12365100000.0,4486100000.0,1.08,0.52,0.04,2954200000.0,Adequate,Poor
COALINDIA,961934200000.0,647416500000.0,111606800000.0,126137000000.0,127277200000.0,1.49,0.93,0.17,314517700000.0,Adequate,Adequate
ADANIPOWER,263282200000.0,164409900000.0,3198500000.0,33172800000.0,130220700000.0,1.6,0.93,0.02,98872300000.0,Good,Adequate
ITC,438932800000.0,143341100000.0,6200000000.0,158361400000.0,47196700000.0,3.06,1.75,0.04,295591700000.0,Excellent,Excellent
ASIANPAINT,169916800000.0,81412300000.0,4452800000.0,67192700000.0,43136500000.0,2.09,1.16,0.05,88504500000.0,Excellent,Good
ONGC,1347965300000.0,1668420100000.0,45543600000.0,589563300000.0,212278000000.0,0.81,0.31,0.03,-320454800000.0,Poor,Poor
MARUTI,295242000000.0,305705000000.0,1845000000.0,69132000000.0,65397000000.0,0.97,0.51,0.01,-10463000000.0,Poor,Poor
TATASTEEL,683915400000.0,860935500000.0,96049600000.0,445899400000.0,52600600000.0,0.79,0.18,0.11,-177020100000.0,Poor,Poor
POWERGRID,294992600000.0,402451200000.0,37967900000.0,18025200000.0,79647500000.0,0.73,0.45,0.09,-107458600000.0,Poor,Poor
NTPC,930516800000.0,1036394900000.0,14265600000.0,187222600000.0,347203000000.0,0.92,0.46,0.01,-105878100000.0,Poor,Poor
SUNPHARMA,526244700000.0,181942100000.0,102687700000.0,102433300000.0,130461100000.0,2.89,2.09,0.56,344302600000.0,Excellent,Excellent
HCLTECH,621090000000.0,280390000000.0,82450000000.0,1330000000.0,195230000000.0,2.21,2.03,0.29,340700000000.0,Excellent,Excellent
TITAN,344340000000.0,257930000000.0,4070000000.0,281840000000.0,10680000000.0,1.33,0.15,0.02,86410000000.0,Adequate,Poor
ULTRACEMCO,235995100000.0,323649700000.0,4672100000.0,95629800000.0,58902500000.0,0.73,0.32,0.01,-87654600000.0,Poor,Poor
BHARTIARTL,675888000000.0,1804402000000.0,61056000000.0,4517000000.0,74557000000.0,0.38,0.14,0.03,-1128514000000.0,Poor,Poor
ADANIGREEN,86220000000.0,168880000000.0,22120000000.0,1010000000.0,15400000000.0,0.51,0.44,0.13,-82660000000.0,Poor,Poor
RELIANCE,4992700000000.0,4537370000000.0,1065020000000.0,1460620000000.0,421210000000.0,1.1,0.59,0.23,455330000000.0,Adequate,Poor
GRASIM,934724700000.0,1075237100000.0,48827000000.0,156144200000.0,91586300000.0,0.87,0.32,0.05,-140512400000.0,Poor,Poor
HINDALCO,1019590000000.0,655160000000.0,98080000000.0,488010000000.0,198340000000.0,1.56,0.63,0.15,364430000000.0,Good,Poor
EICHERMOT,69541600000.0,42657800000.0,2189600000.0,15637500000.0,5496400000.0,1.63,1.06,0.05,26883800000.0,Good,Good
TATAMOTORS,1603250000000.0,1666840000000.0,343490000000.0,472690000000.0,132480000000.0,0.96,0.59,0.21,-63590000000.0,Poor,Poor
BPCL,728322200000.0,906720000000.0,5579300000.0,452651900000.0,93389800000.0,0.8,0.26,0.01,-178397800000.0,Poor,Poor
DRREDDY,250112000000.0,130392000000.0,14654000000.0,71085000000.0,90420000000.0,1.92,1.16,0.11,119720000000.0,Good,Good
HINDUNILVR,220510000000.0,165370000000.0,60710000000.0,44150000000.0,38190000000.0,1.33,0.95,0.37,55140000000.0,Adequate,Adequate
ADANIPORTS,189441200000.0,209859900000.0,34063200000.0,5218000000.0,44323600000.0,0.9,0.55,0.16,-20418700000.0,Poor,Poor
NESTLEIND,37341600000.0,46853500000.0,761800000.0,28501400000.0,3631500000.0,0.8,0.1,0.02,-9511900000.0,Poor,Poor
LT,2453417100000.0,2019709000000.0,121870000000.0,76705500000.0,537136800000.0,1.22,0.89,0.06,433708100000.0,Adequate,Adequate
HEROMOTOCO,134338900000.0,74759800000.0,3835500000.0,20133400000.0,33812900000.0,1.8,1.44,0.05,59579100000.0,Good,Good
APOLLOHOSP,70289000000.0,45789000000.0,5781000000.0,4808000000.0,30161000000.0,1.53,1.31,0.13,24500000000.0,Good,Good
DIVISLAB,100810000000.0,14520000000.0,4150000000.0,32360000000.0,27310000000.0,6.94,4.44,0.29,86290000000.0,Excellent,Excellent
SHREECEM,121023500000.0,57561300000.0,1411500000.0,24436400000.0,14014600000.0,2.1,1.42,0.02,63462200000.0,Excellent,Good
ADANIENT,407444700000.0,473831500000.0,31057800000.0,102873900000.0,96164700000.0,0.86,0.38,0.07,-66386800000.0,Poor,Poor
